22-Jan-04 17:46:55 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:46:55 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:46:55 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:46:58 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:46:58 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:46:58 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:02 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:02 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:02 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:05 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:05 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:05 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:08 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:08 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:08 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:11 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:11 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:11 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:14 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:14 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:14 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:17 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:17 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:17 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:20 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:20 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:20 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:23 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:23 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:23 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:27 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:27 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:27 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:30 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:30 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:30 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:33 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:33 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:33 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:36 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:36 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:36 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:39 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:39 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:39 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:42 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:42 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:42 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:42 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:45 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:45 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:48 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:48 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:48 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:50 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:52 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:52 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:52 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:55 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:55 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:55 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:58 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:58 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:47:58 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:01 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:01 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:01 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:04 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:04 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:04 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:07 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:07 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:07 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
